transcript_id,section_number,start_timestamp,end_timestamp,row_count
100_20250213,1.0,00:00:02,00:04:02,42
100_20250213,2.0,00:04:16,00:15:26,127
100_20250213,3.0,00:15:29,00:32:19,169
100_20250213,4.0,00:32:24,01:00:46,296
100_20250213,5.0,01:00:52,01:08:05,85
100_20250213,6.0,01:08:12,01:14:54,85
100_20250213,7.0,01:15:04,01:17:17,42
101_20250212,1.0,00:00:02,00:02:39,42
101_20250212,2.0,00:02:39,00:11:15,124
101_20250212,3.0,00:11:18,00:20:47,166
101_20250212,4.0,00:20:49,00:43:01,290
101_20250212,5.0,00:43:07,00:50:03,83
101_20250212,6.0,00:50:08,00:56:19,83
101_20250212,7.0,00:56:24,00:58:49,42
102_20250212,1.0,00:00:04,00:02:39,37
102_20250212,2.0,00:02:44,00:10:36,110
102_20250212,3.0,00:10:41,00:20:43,146
102_20250212,4.0,00:20:44,00:43:23,256
102_20250212,5.0,00:43:26,00:49:42,73
102_20250212,6.0,00:49:46,00:56:18,73
102_20250212,7.0,00:56:20,00:58:29,36
103_20250212,1.0,00:00:03,00:03:32,38
103_20250212,2.0,00:03:34,00:13:54,115
103_20250212,3.0,00:14:02,00:28:50,154
103_20250212,4.0,00:28:58,00:52:31,269
103_20250212,5.0,00:52:36,00:58:46,77
103_20250212,6.0,00:58:55,01:04:20,77
103_20250212,7.0,01:04:21,01:06:40,39
104_20250212,1.0,00:00:05,00:01:48,12
104_20250212,2.0,00:01:51,00:24:13,36
104_20250212,3.0,00:24:18,00:29:09,48
104_20250212,4.0,00:29:19,00:36:23,84
104_20250212,5.0,00:36:25,00:38:57,24
104_20250212,6.0,00:39:01,00:40:57,24
104_20250212,7.0,00:40:58,00:41:18,12
105_20250215,1.0,00:02:23,00:03:14,16
105_20250215,2.0,00:03:20,00:20:42,49
105_20250215,3.0,00:20:46,00:27:03,65
105_20250215,4.0,00:27:14,00:38:00,114
105_20250215,5.0,00:38:03,00:40:42,33
105_20250215,6.0,00:40:52,00:42:51,33
105_20250215,7.0,00:42:57,00:43:47,17
106_20250215,1.0,00:00:07,00:01:06,11
106_20250215,2.0,00:01:15,00:04:44,32
106_20250215,3.0,00:04:46,00:08:11,43
106_20250215,4.0,00:08:12,00:25:41,75
106_20250215,5.0,00:25:48,00:27:33,21
106_20250215,6.0,00:27:38,00:28:39,21
106_20250215,7.0,00:28:58,00:29:47,11
107_20250215,1.0,00:00:02,00:01:43,20
107_20250215,2.0,00:01:44,00:23:00,61
107_20250215,3.0,00:23:01,00:30:52,82
107_20250215,4.0,00:31:05,00:43:15,143
107_20250215,5.0,00:43:18,00:46:21,41
107_20250215,6.0,00:46:24,00:49:03,41
107_20250215,7.0,00:49:07,00:49:23,21
108_20250216,1.0,00:00:02,00:02:23,41
108_20250216,2.0,00:02:29,00:12:51,123
108_20250216,3.0,00:12:55,00:25:15,164
108_20250216,4.0,00:25:17,00:52:22,287
108_20250216,5.0,00:52:32,00:59:26,82
108_20250216,6.0,00:59:28,01:06:37,82
108_20250216,7.0,01:06:55,01:09:28,42
109_20250216,1.0,00:00:02,00:02:24,39
109_20250216,2.0,00:02:28,00:09:55,118
109_20250216,3.0,00:09:57,00:21:58,157
109_20250216,4.0,00:22:02,00:40:37,275
109_20250216,5.0,00:40:45,00:46:04,78
109_20250216,6.0,00:46:09,00:49:37,78
109_20250216,7.0,00:49:50,00:51:09,40
10_20250107,1.0,00:00:02,00:02:36,26
10_20250107,2.0,00:02:46,00:09:45,76
10_20250107,3.0,00:09:48,00:19:10,102
10_20250107,4.0,00:19:18,00:35:59,178
10_20250107,5.0,00:36:04,00:42:00,51
10_20250107,6.0,00:42:05,00:45:49,51
10_20250107,7.0,00:45:49,00:47:07,26
110_20250216,1.0,00:00:13,00:00:49,8
110_20250216,2.0,00:01:05,00:03:19,25
110_20250216,3.0,00:03:22,00:22:16,34
110_20250216,4.0,00:22:18,00:28:19,59
110_20250216,5.0,00:28:28,00:30:33,17
110_20250216,6.0,00:30:38,00:31:50,17
110_20250216,7.0,00:31:53,00:32:05,8
111_20250216,1.0,00:00:02,00:03:02,32
111_20250216,2.0,00:03:07,00:25:38,97
111_20250216,3.0,00:25:43,00:37:49,129
111_20250216,4.0,00:37:52,01:01:50,225
111_20250216,5.0,01:01:55,01:08:24,64
111_20250216,6.0,01:08:35,01:14:47,64
111_20250216,7.0,01:14:48,01:15:58,33
112_20250213,1.0,00:00:02,00:00:35,20
112_20250213,2.0,00:00:36,00:06:39,58
112_20250213,3.0,00:06:47,00:14:05,78
112_20250213,4.0,00:14:14,00:27:44,136
112_20250213,5.0,00:27:49,00:33:56,39
112_20250213,6.0,00:34:12,00:37:57,39
112_20250213,7.0,00:38:00,00:39:32,20
113_20250217,1.0,00:00:03,00:02:09,34
113_20250217,2.0,00:02:14,00:08:52,101
113_20250217,3.0,00:08:55,00:18:03,134
113_20250217,4.0,00:18:09,00:34:26,235
113_20250217,5.0,00:34:28,00:38:46,67
113_20250217,6.0,00:38:47,00:42:50,67
113_20250217,7.0,00:42:53,00:43:43,34
114_20250214,1.0,00:00:03,00:01:25,15
114_20250214,2.0,00:01:29,00:04:04,46
114_20250214,3.0,00:04:17,00:09:00,62
